mouse,n_reps,fitness,n_connections,density,ei_ratio,n_exc,n_inh,si_count,sm_count,ii_count,im_count,mi_count,mm_count,si_exc_frac,ii_exc_frac,im_exc_frac,inter_in_mean,inter_out_mean,w_mean_mag,frac_strong
B5,6,0.7698002545398354,23.833333333333332,0.21279761904761904,1.0444444444444443,3.3333333333333335,4.666666666666667,8.833333333333334,3.8333333333333335,6.833333333333333,1.8333333333333333,2.1666666666666665,0.3333333333333333,1.0,0.2892857142857143,0.4166666666666667,2.9722222222222228,1.4444444444444446,0.6587409420289855,0.544987922705314
B6,6,0.8070659281738551,23.666666666666668,0.21130952380952375,1.3333333333333333,4.166666666666667,3.8333333333333335,8.333333333333334,3.5,7.333333333333333,1.6666666666666667,2.1666666666666665,0.6666666666666666,1.0,0.6331168831168831,0.4444444444444444,2.9722222222222228,1.5,0.6616847826086957,0.5489130434782609
B7,6,0.8221994596510586,23.0,0.20535714285714282,1.0126984126984129,3.6666666666666665,4.333333333333333,8.5,3.5,6.833333333333333,2.1666666666666665,1.6666666666666667,0.3333333333333333,1.0,0.4227513227513228,0.4166666666666667,2.8333333333333335,1.5,0.6742012516469038,0.5656016688625384
D3,6,0.8062573431665191,23.0,0.20535714285714288,0.8571428571428572,3.1666666666666665,4.833333333333333,6.5,3.5,7.5,1.3333333333333333,3.0,1.1666666666666667,1.0,0.5255952380952381,0.25,2.8333333333333335,1.4722222222222223,0.6380517127799736,0.5174022837066314
D4,6,0.823472449983441,23.833333333333332,0.21279761904761904,1.0444444444444445,3.8333333333333335,4.166666666666667,7.833333333333333,3.5,7.666666666666667,1.8333333333333333,2.5,0.5,1.0,0.5214692714692714,0.4583333333333333,3.0,1.5833333333333333,0.7167119565217391,0.6222826086956521
D5,6,0.8125904073545843,23.5,0.20982142857142858,0.7999999999999999,3.5,4.5,8.5,3.3333333333333335,7.166666666666667,1.6666666666666667,1.8333333333333333,1.0,1.0,0.4698412698412698,0.25,2.9166666666666665,1.4722222222222223,0.6804800724637681,0.5739734299516909
D7,6,0.8474188441139833,23.5,0.20982142857142852,1.0888888888888888,4.0,4.0,8.166666666666666,4.0,7.166666666666667,1.8333333333333333,2.1666666666666665,0.16666666666666666,1.0,0.4330687830687831,0.5,2.9166666666666665,1.5,0.6702898550724637,0.5603864734299516
D8,6,0.8070832676729846,23.166666666666668,0.20684523809523805,0.7111111111111111,3.1666666666666665,4.833333333333333,7.833333333333333,3.5,6.833333333333333,1.5,2.5,1.0,1.0,0.29365079365079366,0.3333333333333333,2.8611111111111107,1.3888888888888886,0.6592350131752306,0.5456466842336408
D9,6,0.7826500259046011,23.333333333333332,0.2083333333333333,0.7682539682539683,3.1666666666666665,4.833333333333333,7.5,3.1666666666666665,6.833333333333333,2.0,3.0,0.8333333333333334,1.0,0.2541005291005291,0.13888888888888887,2.8888888888888893,1.472222222222222,0.6684782608695653,0.5579710144927535
